lat=43 47.33279 N, lon=069 58.21859 W, hms=122316, dmy=040821, t1=17.756800, c1=4.108590, s=31.108800, sigma=22.353600
lat=43 47.33039 N, lon=069 58.22025 W, hms=122317, dmy=040821, t1=17.756500, c1=4.108580, s=31.108900, sigma=22.353800
lat=43 47.32560 N, lon=069 58.22343 W, hms=122319, dmy=040821, t1=17.745500, c1=4.108570, s=31.117200, sigma=22.362800
lat=43 47.32319 N, lon=069 58.22498 W, hms=122320, dmy=040821, t1=17.739800, c1=4.108540, s=31.121400, sigma=22.367300
lat=43 47.32073 N, lon=069 58.22649 W, hms=122321, dmy=040821, t1=17.736400, c1=4.108520, s=31.123700, sigma=22.369800
lat=43 47.31567 N, lon=069 58.22946 W, hms=122323, dmy=040821, t1=17.733600, c1=4.108430, s=31.125100, sigma=22.371600
lat=43 47.31316 N, lon=069 58.23089 W, hms=122324, dmy=040821, t1=17.729100, c1=4.108330, s=31.127700, sigma=22.374600
lat=43 47.30814 N, lon=069 58.23379 W, hms=122326, dmy=040821, t1=17.726600, c1=4.108220, s=31.128700, sigma=22.376000
lat=43 47.30563 N, lon=069 58.23523 W, hms=122327, dmy=040821, t1=17.731200, c1=4.108090, s=31.124100, sigma=22.371300
lat=43 47.30313 N, lon=069 58.23665 W, hms=122328, dmy=040821, t1=17.734400, c1=4.108030, s=31.121100, sigma=22.368300
lat=43 47.29817 N, lon=069 58.23959 W, hms=122330, dmy=040821, t1=17.724600, c1=4.107930, s=31.127800, sigma=22.375700
lat=43 47.29571 N, lon=069 58.24104 W, hms=122331, dmy=040821, t1=17.720800, c1=4.107840, s=31.130000, sigma=22.378400
lat=43 47.29324 N, lon=069 58.24250 W, hms=122332, dmy=040821, t1=17.721200, c1=4.107780, s=31.129100, sigma=22.377600
lat=43 47.28829 N, lon=069 58.24546 W, hms=122334, dmy=040821, t1=17.715500, c1=4.107760, s=31.133300, sigma=22.382200
lat=43 47.28583 N, lon=069 58.24695 W, hms=122335, dmy=040821, t1=17.717800, c1=4.107740, s=31.131400, sigma=22.380300
lat=43 47.28091 N, lon=069 58.24997 W, hms=122337, dmy=040821, t1=17.712300, c1=4.107690, s=31.135100, sigma=22.384300
lat=43 47.27845 N, lon=069 58.25146 W, hms=122338, dmy=040821, t1=17.712200, c1=4.107660, s=31.135000, sigma=22.384300
lat=43 47.27601 N, lon=069 58.25298 W, hms=122339, dmy=040821, t1=17.707800, c1=4.107650, s=31.138300, sigma=22.387900
lat=43 47.27109 N, lon=069 58.25588 W, hms=122341, dmy=040821, t1=17.702500, c1=4.107660, s=31.142400, sigma=22.392300
lat=43 47.26864 N, lon=069 58.25743 W, hms=122342, dmy=040821, t1=17.702800, c1=4.107730, s=31.142700, sigma=22.392400
lat=43 47.26618 N, lon=069 58.25894 W, hms=122343, dmy=040821, t1=17.703000, c1=4.107840, s=31.143600, sigma=22.393000
lat=43 47.26124 N, lon=069 58.26192 W, hms=122345, dmy=040821, t1=17.697000, c1=4.107960, s=31.149200, sigma=22.398700
lat=43 47.25876 N, lon=069 58.26339 W, hms=122346, dmy=040821, t1=17.698100, c1=4.108070, s=31.149300, sigma=22.398500
lat=43 47.25627 N, lon=069 58.26489 W, hms=122347, dmy=040821, t1=17.695000, c1=4.108210, s=31.152800, sigma=22.401900
lat=43 47.25128 N, lon=069 58.26781 W, hms=122349, dmy=040821, t1=17.688700, c1=4.108450, s=31.159600, sigma=22.408800
lat=43 47.24877 N, lon=069 58.26924 W, hms=122350, dmy=040821, t1=17.687300, c1=4.108630, s=31.162200, sigma=22.411100
lat=43 47.24379 N, lon=069 58.27225 W, hms=122352, dmy=040821, t1=17.683000, c1=4.108780, s=31.166800, sigma=22.415500
lat=43 47.24134 N, lon=069 58.27375 W, hms=122353, dmy=040821, t1=17.683400, c1=4.109000, s=31.168400, sigma=22.416700
lat=43 47.23887 N, lon=069 58.27526 W, hms=122354, dmy=040821, t1=17.684400, c1=4.109150, s=31.168800, sigma=22.416700
lat=43 47.23390 N, lon=069 58.27814 W, hms=122356, dmy=040821, t1=17.683000, c1=4.109280, s=31.171000, sigma=22.418700
lat=43 47.23141 N, lon=069 58.27959 W, hms=122357, dmy=040821, t1=17.681200, c1=4.109470, s=31.174000, sigma=22.421400
lat=43 47.22890 N, lon=069 58.28110 W, hms=122358, dmy=040821, t1=17.679200, c1=4.109600, s=31.176600, sigma=22.424000
lat=43 47.22386 N, lon=069 58.28393 W, hms=122400, dmy=040821, t1=17.678400, c1=4.109690, s=31.178100, sigma=22.425300
lat=43 47.22132 N, lon=069 58.28532 W, hms=122401, dmy=040821, t1=17.673400, c1=4.109800, s=31.182800, sigma=22.430000
lat=43 47.21629 N, lon=069 58.28819 W, hms=122403, dmy=040821, t1=17.671800, c1=4.109910, s=31.184900, sigma=22.432100
lat=43 47.21378 N, lon=069 58.28963 W, hms=122404, dmy=040821, t1=17.671900, c1=4.109970, s=31.185300, sigma=22.432300
lat=43 47.21126 N, lon=069 58.29102 W, hms=122405, dmy=040821, t1=17.668200, c1=4.110010, s=31.188500, sigma=22.435600
lat=43 47.20624 N, lon=069 58.29396 W, hms=122407, dmy=040821, t1=17.666500, c1=4.110030, s=31.190000, sigma=22.437300
lat=43 47.20370 N, lon=069 58.29540 W, hms=122408, dmy=040821, t1=17.666300, c1=4.110030, s=31.190100, sigma=22.437400
lat=43 47.20118 N, lon=069 58.29684 W, hms=122409, dmy=040821, t1=17.668500, c1=4.110010, s=31.188200, sigma=22.435500
lat=43 47.19603 N, lon=069 58.29961 W, hms=122411, dmy=040821, t1=17.664800, c1=4.109970, s=31.190800, sigma=22.438200
lat=43 47.19351 N, lon=069 58.30112 W, hms=122412, dmy=040821, t1=17.664200, c1=4.109910, s=31.190700, sigma=22.438200
lat=43 47.19097 N, lon=069 58.30251 W, hms=122413, dmy=040821, t1=17.662000, c1=4.109820, s=31.191700, sigma=22.439500
lat=43 47.18604 N, lon=069 58.30569 W, hms=122415, dmy=040821, t1=17.661400, c1=4.109770, s=31.191700, sigma=22.439700
lat=43 47.18357 N, lon=069 58.30731 W, hms=122416, dmy=040821, t1=17.657200, c1=4.109700, s=31.194300, sigma=22.442600
lat=43 47.17863 N, lon=069 58.31056 W, hms=122418, dmy=040821, t1=17.654300, c1=4.109580, s=31.195500, sigma=22.444300
lat=43 47.17620 N, lon=069 58.31230 W, hms=122419, dmy=040821, t1=17.652400, c1=4.109500, s=31.196300, sigma=22.445400
lat=43 47.17377 N, lon=069 58.31405 W, hms=122420, dmy=040821, t1=17.652600, c1=4.109420, s=31.195500, sigma=22.444700
lat=43 47.16901 N, lon=069 58.31740 W, hms=122422, dmy=040821, t1=17.651200, c1=4.109360, s=31.196000, sigma=22.445600
lat=43 47.16660 N, lon=069 58.31902 W, hms=122423, dmy=040821, t1=17.652200, c1=4.109280, s=31.194600, sigma=22.444200
lat=43 47.16416 N, lon=069 58.32062 W, hms=122424, dmy=040821, t1=17.649900, c1=4.109310, s=31.196700, sigma=22.446200
lat=43 47.15925 N, lon=069 58.32382 W, hms=122426, dmy=040821, t1=17.643800, c1=4.109240, s=31.200700, sigma=22.450700
lat=43 47.15678 N, lon=069 58.32524 W, hms=122427, dmy=040821, t1=17.643600, c1=4.109170, s=31.200300, sigma=22.450400
lat=43 47.15186 N, lon=069 58.32825 W, hms=122429, dmy=040821, t1=17.640500, c1=4.109270, s=31.203400, sigma=22.453600
lat=43 47.14940 N, lon=069 58.32983 W, hms=122430, dmy=040821, t1=17.642300, c1=4.109350, s=31.202800, sigma=22.452600
lat=43 47.14693 N, lon=069 58.33130 W, hms=122431, dmy=040821, t1=17.642700, c1=4.109440, s=31.203200, sigma=22.452900
lat=43 47.14197 N, lon=069 58.33444 W, hms=122433, dmy=040821, t1=17.639500, c1=4.109580, s=31.206900, sigma=22.456500
lat=43 47.13946 N, lon=069 58.33606 W, hms=122434, dmy=040821, t1=17.639000, c1=4.109710, s=31.208300, sigma=22.457800
lat=43 47.13697 N, lon=069 58.33764 W, hms=122435, dmy=040821, t1=17.638100, c1=4.109830, s=31.210000, sigma=22.459200
lat=43 47.13198 N, lon=069 58.34077 W, hms=122437, dmy=040821, t1=17.638300, c1=4.110040, s=31.211700, sigma=22.460500
lat=43 47.12948 N, lon=069 58.34237 W, hms=122438, dmy=040821, t1=17.638300, c1=4.110150, s=31.212600, sigma=22.461200
lat=43 47.12447 N, lon=069 58.34566 W, hms=122440, dmy=040821, t1=17.635900, c1=4.110300, s=31.215700, sigma=22.464200
lat=43 47.12197 N, lon=069 58.34727 W, hms=122441, dmy=040821, t1=17.635900, c1=4.110440, s=31.216900, sigma=22.465100
lat=43 47.11951 N, lon=069 58.34894 W, hms=122442, dmy=040821, t1=17.632800, c1=4.110540, s=31.220200, sigma=22.468300
lat=43 47.11451 N, lon=069 58.35220 W, hms=122444, dmy=040821, t1=17.630600, c1=4.110620, s=31.222500, sigma=22.470600
lat=43 47.11201 N, lon=069 58.35385 W, hms=122445, dmy=040821, t1=17.630500, c1=4.110650, s=31.222800, sigma=22.470900
lat=43 47.10950 N, lon=069 58.35546 W, hms=122446, dmy=040821, t1=17.629500, c1=4.110670, s=31.223900, sigma=22.471900
lat=43 47.10449 N, lon=069 58.35865 W, hms=122448, dmy=040821, t1=17.628200, c1=4.110690, s=31.225000, sigma=22.473000
lat=43 47.10201 N, lon=069 58.36023 W, hms=122449, dmy=040821, t1=17.626600, c1=4.110720, s=31.226500, sigma=22.474500
lat=43 47.09952 N, lon=069 58.36185 W, hms=122450, dmy=040821, t1=17.626800, c1=4.110750, s=31.226600, sigma=22.474700
lat=43 47.09450 N, lon=069 58.36492 W, hms=122452, dmy=040821, t1=17.624600, c1=4.110800, s=31.228700, sigma=22.476700
lat=43 47.09200 N, lon=069 58.36645 W, hms=122453, dmy=040821, t1=17.624100, c1=4.110830, s=31.229300, sigma=22.477400
lat=43 47.08696 N, lon=069 58.36955 W, hms=122455, dmy=040821, t1=17.625500, c1=4.110810, s=31.228100, sigma=22.476000
lat=43 47.08441 N, lon=069 58.37113 W, hms=122456, dmy=040821, t1=17.624000, c1=4.110810, s=31.229200, sigma=22.477200
lat=43 47.08187 N, lon=069 58.37258 W, hms=122457, dmy=040821, t1=17.623400, c1=4.110820, s=31.229700, sigma=22.477800
lat=43 47.07683 N, lon=069 58.37539 W, hms=122459, dmy=040821, t1=17.622900, c1=4.110810, s=31.230100, sigma=22.478200
lat=43 47.07431 N, lon=069 58.37679 W, hms=122500, dmy=040821, t1=17.620300, c1=4.110790, s=31.231900, sigma=22.480200
lat=43 47.07178 N, lon=069 58.37812 W, hms=122501, dmy=040821, t1=17.618800, c1=4.110810, s=31.233200, sigma=22.481600
lat=43 47.06673 N, lon=069 58.38070 W, hms=122503, dmy=040821, t1=17.620200, c1=4.110810, s=31.232100, sigma=22.480300
lat=43 47.06421 N, lon=069 58.38208 W, hms=122504, dmy=040821, t1=17.617900, c1=4.110760, s=31.233400, sigma=22.481900
