Sensor 0052 - site1
Site 1
date [EST]	es 412 [uW/cm^2/nm]	es 442 [uW/cm^2/nm]	es 490 [uW/cm^2/nm]	es 510 [uW/cm^2/nm]	es 555 [uW/cm^2/nm]	es 664 [uW/cm^2/nm]	es 669 [uW/cm^2/nm]
2015-04-26 06:00:00	14.233887	16.007069	17.335904	16.21687	14.76097	12.908978	13.165707
2015-04-26 07:00:00	35.392191	39.606795	42.910689	40.699154	37.722101	31.759802	32.435564
2015-04-26 08:00:00	53.889557	60.905572	66.407584	63.723734	59.69772	49.908901	50.874385
2015-04-26 09:00:00	72.345121	82.547708	90.495004	87.310626	82.746346	69.693559	71.011281
2015-04-26 10:00:00	46.215852	51.718596	55.75807	53.166628	50.453013	41.524398	42.169684
2015-04-26 11:00:00	60.15149	67.487071	72.998957	69.874605	66.487743	54.989581	55.789858
2015-04-26 12:00:00	70.261278	79.360467	86.314326	82.493209	78.508656	65.04328	66.137627
2015-04-26 13:00:00	48.580618	54.57381	59.259154	56.78992	53.834213	44.317445	45.0172
2015-04-26 14:00:00	44.125426	49.404022	53.505202	51.146081	47.925291	39.284407	40.051288
2015-04-26 15:00:00	48.148902	52.705692	55.751981	52.477513	48.127629	38.962655	39.909836
2015-04-26 16:00:00	33.128493	38.060609	42.645957	40.935137	38.506899	33.001677	33.730117
2015-04-26 17:00:00	7.387294	8.657092	10.001669	9.601259	9.227777	8.365103	8.392085
2015-04-26 18:00:00	4.419594	5.381826	6.597337	6.333706	5.833953	6.512475	6.622972
2015-04-26 19:00:00	0.022677	-0.001172	0.013829	-4.58E-4	0.00323	0.019162	-0.0123
2015-04-26 20:00:00	0.010186	-0.015638	0.002435	-0.009836	-0.001897	0.014389	-0.017299
2015-04-26 21:00:00	0.00976	-0.015759	0.00202	-0.010529	-0.001878	0.015536	-0.017561
2015-04-26 22:00:00	0.010033	-0.016947	0.002007	-0.010641	-0.003385	0.015209	-0.018399
2015-04-26 23:00:00	0.009464	-0.015033	0.001934	-0.010309	-0.00192	0.014422	-0.017608
2015-04-27 00:00:00	0.009974	-0.015356	0.001698	-0.00914	-0.001491	0.01298	-0.016184
2015-04-27 01:00:00	0.009293	-0.014047	0.001316	-0.00949	-0.001135	0.013224	-0.015893
2015-04-27 02:00:00	0.008864	-0.015749	0.00222	-0.010382	-0.001131	0.013475	-0.015963
2015-04-27 03:00:00	0.009228	-0.016475	0.001948	-0.010049	-0.001741	0.014924	-0.017832
2015-04-27 04:00:00	0.012212	-0.012617	0.005447	-0.008379	-9.81E-4	0.014817	-0.016931
2015-04-27 05:00:00	3.791918	4.198821	4.298997	3.768344	2.938947	2.710506	2.782262
2015-04-27 06:00:00	18.091215	19.667831	20.546472	18.894243	16.684359	13.755868	14.048403
2015-04-27 07:00:00	37.042208	41.332068	44.947106	42.613613	39.323637	31.746914	35.476026
2015-04-27 08:00:00	46.810027	52.955818	57.792174	55.171817	52.154196	43.819007	44.57976
2015-04-27 09:00:00	60.117508	67.66387	73.687055	70.592702	66.857585	55.522058	56.502251
2015-04-27 10:00:00	37.717747	41.859951	44.829768	42.766862	40.270116	32.845874	33.339205
2015-04-27 11:00:00	99.70221	113.45468	124.120358	119.48779	114.534383	96.480897	97.991388
2015-04-27 12:00:00	49.872672	55.958428	60.696109	58.148234	55.449754	46.10627	46.791892
2015-04-27 13:00:00	37.196719	41.449611	45.02719	42.872435	41.083633	34.42191	34.837108
2015-04-27 14:00:00	70.136119	79.657812	87.689294	84.267336	80.438753	68.226166	69.064048
2015-04-27 15:00:00	37.319093	42.601361	46.599136	44.80779	42.608319	36.488002	37.04521
2015-04-27 16:00:00	29.743541	33.247725	35.416854	33.631869	31.366959	26.355294	26.765962
2015-04-27 17:00:00	11.124058	12.764413	13.92082	13.178122	12.099605	10.695382	10.987904
2015-04-27 18:00:00	2.424147	2.754064	3.121431	2.815603	2.508308	2.649664	2.687373
2015-04-27 19:00:00	0.015538	-0.010185	0.007098	-0.004714	0.001636	0.016118	-0.01388
2015-04-27 20:00:00	0.009586	-0.01469	0.001854	-0.010304	-8.8E-4	0.013174	-0.016934
2015-04-27 21:00:00	0.009057	-0.015005	0.00181	-0.009445	-0.002035	0.01372	-0.017729
2015-04-27 22:00:00	0.009964	-0.015807	0.002441	-0.009834	-0.001522	0.012283	-0.017798
2015-04-27 23:00:00	0.010063	-0.016476	0.0023	-0.010743	-0.001744	0.014001	-0.017969
2015-04-28 00:00:00	0.009283	-0.01595	0.001551	-0.010776	-0.001591	0.013871	-0.018274
2015-04-28 01:00:00	0.010479	-0.017875	0.001739	-0.010595	-0.003383	0.014115	-0.018471
2015-04-28 02:00:00	0.010059	-0.01694	0.002234	-0.010089	-0.002999	0.0144	-0.019003
2015-04-28 03:00:00	0.008828	-0.017541	0.002603	-0.010379	-0.003161	0.014323	-0.017626
2015-04-28 04:00:00	0.012564	-0.012206	0.006049	-0.008163	-0.002732	0.016192	-0.015957
2015-04-28 05:00:00	3.721657	4.06624	4.075885	3.553998	2.713764	2.388496	2.436597
2015-04-28 06:00:00	16.733617	18.09944	18.489901	16.859309	14.60951	12.020342	12.326896
2015-04-28 07:00:00	42.572049	47.830406	52.884143	50.259476	46.278577	38.890613	40.232292
2015-04-28 08:00:00	37.272556	40.809294	43.148417	40.796115	37.692087	30.841958	31.364675
2015-04-28 09:00:00	105.217609	121.002228	135.370729	130.640421	125.360854	106.649838	109.352843
2015-04-28 10:00:00	115.914621	132.982064	146.353254	141.354219	135.527366	114.802613	117.152177
2015-04-28 11:00:00	124.635711	143.131041	156.390529	151.053792	145.487096	124.06965	125.83395
2015-04-28 12:00:00	129.490226	149.154776	163.195506	157.494419	151.977037	130.294406	131.868651
2015-04-28 13:00:00	124.461018	143.912088	158.627438	152.88725	147.431085	126.762295	128.416267
2015-04-28 14:00:00	95.146259	110.119069	122.007016	117.339976	112.717474	97.054442	98.530075
2015-04-28 15:00:00	73.418721	85.23119	95.152877	91.134844	86.950232	75.321021	76.557644
2015-04-28 16:00:00	33.125747	38.404108	42.745182	40.737686	38.590864	33.599835	34.433359
2015-04-28 17:00:00	16.741328	18.64846	19.856317	18.587941	16.776897	14.369114	14.708804
2015-04-28 18:00:00	5.198458	6.26471	7.322917	6.861574	6.07197	6.256821	6.4915
2015-04-28 19:00:00	0.006103	1.779406	1.707789	1.713888	1.826843	-1.657331	1.688832
2015-04-28 20:00:00	0.008256	-0.012011	0.00157	-0.008772	1.3E-5	0.011667	-0.013266
2015-04-28 21:00:00	0.008407	-0.011795	0.001413	-0.007911	-2.25E-4	0.010216	-0.013532
2015-04-28 22:00:00	0.007991	-0.010423	-2.11E-4	-0.007212	0.001326	0.009802	-0.011801
2015-04-28 23:00:00	0.007407	-0.009993	3.05E-4	-0.007097	4.28E-4	0.01047	-0.012426
2015-04-29 00:00:00	0.007649	-0.009677	4.39E-4	-0.007275	4.59E-4	0.009339	-0.011985
2015-04-29 01:00:00	0.008386	-0.011299	9.83E-4	-0.007698	-6.12E-4	0.010302	-0.012606
2015-04-29 02:00:00	0.008445	-0.011741	8.94E-4	-0.007955	-3.96E-4	0.011028	-0.014105
2015-04-29 03:00:00	0.008101	-0.010952	5.96E-4	-0.007651	1.22E-4	0.010506	-0.013482
2015-04-29 04:00:00	0.009893	-0.010555	0.003277	-0.007667	-5.13E-4	0.012212	-0.014166
2015-04-29 05:00:00	2.707717	2.829729	2.723941	2.369507	1.826554	1.592324	1.612349
2015-04-29 06:00:00	9.472084	10.250342	10.610859	9.808199	8.784554	7.481266	7.611106
2015-04-29 07:00:00	27.164417	30.477595	33.035469	31.229905	29.237721	24.93303	25.39779
2015-04-29 08:00:00	83.613015	97.728023	111.189594	107.145489	102.251137	88.460493	90.482143
2015-04-29 09:00:00	113.33061	131.621393	148.601241	142.856566	137.026822	117.823352	120.398576
2015-04-29 10:00:00	122.418467	139.888817	154.51812	148.71924	142.5452	120.466865	123.347464
2015-04-29 11:00:00	121.900357	139.288562	152.132543	146.302046	140.606625	118.809457	121.177554
2015-04-29 12:00:00	35.16628	39.336069	42.458169	40.514575	38.503972	31.512529	31.980844
2015-04-29 13:00:00	67.85404	76.330663	82.771296	79.374288	75.304044	62.785527	63.680354
2015-04-29 14:00:00	27.990985	31.066951	33.247201	31.622028	29.659094	24.368076	24.771028
